objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,CampbellEditorial_AcademicEditing.jpeg,,Academic editing acknowledgment,Campbell Editorial Services,1999,Acknowledgment of editorial contribution to an academic article.,Scholarly publishing;Editing,"Santa Barbara, Calif.",34.413934,-119.850325,https://www.campbelleditorialservices.com/portfolio.html,coll001,Image;StillImage,image/jpeg,eng;fre,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll002,CampbellEditorial_AnalyticalReport.pdf,,Sleep and Teenagers' Health: A Recommendation for Later High School Start Times,Campbell Editorial Services,2014,Example of an analytical report.,Technical writing;Authorship,"Des Moines, Iowa",41.598418,-93.62886,https://www.campbelleditorialservices.com/portfolio.html,coll002,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll003,CampbellEditorial_AudienceandUseProfile.pdf,,Audience and use profile,Campbell Editorial Services,2017,Example of an audience and use profile for online instructions.,Technical writing,"Des Moines, Iowa",41.598418,-93.62886,https://www.campbelleditorialservices.com/portfolio.html,coll003,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll004,CampbellEditorial_Communications.pdf,,Staff instructions,Campbell Editorial Services,2017,Instructions on how to create staff communications.,Technical writing,"Des Moines, Iowa",41.598418,-93.62886,https://www.campbelleditorialservices.com/portfolio.html,coll004,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll005,CampbellEditorial_CopyeditingTest.pdf,,Copyediting test,Campbell Editorial Services,2000,Example of a copyediting test.,Copy editing;Editing,"Santa Barbara, Calif.",34.432962,-119.8552,https://www.campbelleditorialservices.com/portfolio.html,coll005,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll006,CampbellEditorial_DevelopmentalEditing.pdf,,Developmental editing sample,Campbell Editorial Services,2006,Example of developmental editorial work.,Developmental editing;Editing,"Chicago, Ill.",41.888246,-87.631824,https://www.campbelleditorialservices.com/portfolio.html,coll006,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll007,CampbellEditorial_EncyclopediaArticle_LouisXIV.jpeg,,Encyclopedia article: Louis XIV,Campbell Editorial Services,2001,Screenshot of encyclopedia article on Louis XIV.,Authorship,"Santa Barbara, Calif.",34.432962,-119.8552,https://www.campbelleditorialservices.com/portfolio.html,coll007,Image;StillImage,image/jpeg,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll008,CampbellEditorial_EncyclopediaArticle_OlympedeGouges.jpeg,,Encyclopedia article: Olympe de Gouges,Campbell Editorial Services,2001,Screenshot of encyclopedia article on Olympe de Gouges.,Authorship,"Santa Barbara, Calif.",34.432962,-119.8552,https://www.campbelleditorialservices.com/portfolio.html,coll008,Image;StillImage,image/jpeg,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll010,CampbellEditorial_ManuscriptEvaluation.pdf,,Manuscript evaluation,Campbell Editorial Services,2004,Evaluation of a submitted manuscript.,Editing,"Chicago, Ill.",41.888246,-87.631824,https://www.campbelleditorialservices.com/portfolio.html,coll010,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll011,CampbellEditorial_ProcedureTemplate.pdf,,Procedure template,Campbell Editorial Services,2015,Template for creating staff procedure documents.,Technical writing,"Des Moines, Iowa",41.598418,-93.62886,https://www.campbelleditorialservices.com/portfolio.html,coll011,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll012,CampbellEditorial_ProfessionalismPolicy.pdf,,Professionalism policy,Campbell Editorial Services,2013,Example of a policy document.,Technical writing,"Des Moines, Iowa",41.598418,-93.62886,https://www.campbelleditorialservices.com/portfolio.html,coll012,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll013,CampbellEditorial_UsabilityChecklist.pdf,,Usability checklist example,Campbell Editorial Services,2014,Simple procedure usability checklist.,Technical writing,"Des Moines, Iowa",41.598418,-93.62886,https://www.campbelleditorialservices.com/portfolio.html,coll013,Text,application/pdf,eng,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/